Date,Personal income,Personal saving
Jan-19,18254.2,1495
Feb-19,18348.5,1544.2
Mar-19,18433.4,1476.6
Apr-19,18475.5,1443.7
May-19,18500,1403.9
Jun-19,18539.1,1384.1
Jul-19,18573.3,1368.1
Aug-19,18670.6,1431.8
Sep-19,18722.6,1465.5
Oct-19,18791.9,1474.8
Nov-19,18880.2,1490.6
Dec-19,18854.8,1381.3
Jan-20,19065.2,1524.8
Feb-20,19197,1581.2
Mar-20,18838.8,2297.6
Apr-20,21050.3,6428.1
May-20,20216.6,4510.6
Jun-20,20171.3,3617.7
Jul-20,20379.3,3487.9
Aug-20,19773.2,2714.5
Sep-20,19905.2,2569.3
Oct-20,19878.9,2462.2
Nov-20,19692.2,2311.5
Dec-20,19819.7,2402.8
Jan-21,21725.4,3855.5
Feb-21,20189.4,2378
Mar-21,24371.9,5732.7
Apr-21,21180.9,2381.8
May-21,20769.3,1872
Jun-21,20798.9,1682
Jul-21,21023.3,1824.3
Aug-21,21082.7,1754.4
Sep-21,20909.7,1428.6
Oct-21,21073,1330.1
Nov-21,21176.6,1308.9
Dec-21,21236.8,1372.3
Jan-22,21205.7,845.6
Feb-22,21319.5,813.3
Mar-22,21434.3,695.8
Apr-22,21503.6,674.7
May-22,21624.3,656.6
Jun-22,21748.7,555.7
Jul-22,21834.5,660.9
Aug-22,21918.5,635.8
Sep-22,21997.4,581.6
,,
